,tweet,depressed
47,a vida eh cheia de obstáculos se nao conseguir pular vc tropeça e cai na minha pika,1
48,eu ja to em estado de decomposição trabalhando 12hrs por dia nao aguento mais meu deus pq me abandonaste?,1
49,nao quero ✋ procuro ser uma pessoa correta nao mexo com essas coisas,1
50,acabou a palestra puta merda bagulho chato vai se foder,1
51,hj e o dia q ficarei 12hrs na empresa q legal 👍,1
52,"Helen: ""Vc eh um garoto tumblr""  Bruno: ""macarrao com salsicha""",1
53,bom dia minha vida como vc ta? ta frio ai no paraguay/?,1
54,bom dia a todos nao quero trabalhar,1
55,bom dia ou nem?,1
56,ce nao ta falando no telefone nao pra fala alo nao bom dia salgadi,1
57,bom dia gif de friends,1
58,sim cara ta mais explicito a cada dia,1
59,ta doidao?  frio eh vida meu ilustre serrate,1
60,o mercadão ta caindo aos pedaços faz tempo amados.,1
61,tranquilo minha vida e vc,1
62,bom dia cauazera,1
63,pode me enterra por favor o caixão ja ta pago pq eu pago a ossel a vida toda poe uma roupinha bonita em mim e poe os torresmo pra fritar,1
64,ganhei meu dia,1
65,sábado de manha o pai indo pra onde? trabalhar pq tem casa pra sustenta,1
66,foda se,1
67,po ai e foda..  https://twitter.com/globoeapoetecon/status/1136437023395459073 …,1
68,foda se,1
69,as pessoas deviam seguir seu exemplo,1
70,good dia a todos (good = bom),1
71,"a quantidade de pessoas q disseram ""ou NÃO USA CANUDO CARALHO"" e estrondosa e isso ai galera ecologia sempre !!",1
72,sono,1
73,faz video falando como eh a vida de um autista,1
74,amanha e dia de pagamento e eu to como😎😎 cheio de conta pra paga infernooo,1
75,pode deixa quando vcs fala bom dia vo fingi q nunca vi na vida u.u,1
76,achei q ngm ia me desejar bom dia,1
77,oi..bom dia??,1
78,"sou moh lixo uma inútil ,_,  rock e vida  trapper,_,  otaku Sad gamer  solitária ,_,  ❤",1
79,bom dia 😊 educados respondam mal educados respondam também,1
80,vo lava louça toma banho e joga lol foda ce,1
81,eu fumo maconha e cigarro deus me odeia,1
82,fumo,1
83,3a vez no dia cagando,1
84,ja pago a porra da faculdade ainda tenho q fazer oitenta bilhões de horas em cursos complementares com certificado pago também vsf..,1
85,minha gata ta brincando com um grilo morto to com mt medo velho q inferno,1
86,Boa noite alguns e pro resto tbm,1
87,bom dia (?),1
88,boa noite tuiteiros,1
89,seus amigos acham q vc eh o mario bundudo,1
90,q merda e essa  https://twitter.com/g1/status/1133874409393909760 …,1
91,essa noite tive um sonho estranho  pic.twitter.com/ecdtFksE1w,1
92,acho q meu whats ta com problema eu mando mensagem pra pessoa e do nada a foto dela some,1
93,"""•Valorize Aquela Pessoa Qe Te Chama De Vida ,Amor, Bebê, Môh.... Qee Te Liga Pede Pra Ficar ao Seu Lado,Que Te Irrita, Sente Ciumes De Vc, Q Bagunça Seu Cabelo,Que Te Ama Inesperadamente Valorize , Pq Outra Desse Tipo Vai Ser Difícil De Vc Encontrar Por Aí. 👫 💕💍👏🍃 ❤😌🍃",1
94,foda se vcs,1
95,foda se o gosto delicioso dos chocolates nestle o importante eh honrar a cena underground da qualita,1
96,foda se essa bonita senhora,1
97,se foda se vc,1
98,hj acordei dando bom dia pra todo mundo avin acho q depois de seculos to de bom humor. como vc ta?,1
99,bom dia avin e os esqulosnllllllkkkkkk,1
100,foda se rick,1
101,ultimamente minha vida ta sendo fugir da policia,1
102,bom dia k,1
103,esperando o momento em que pessoas vao dormir em volta da minha casa so pra me ver,1
104,#F1noGP como assim? fumo um onde eu quiser po q mane fumar no gp carai,1
105,cafe da manha: refrigerante sem gas e duas negresco q sobrou de ontem,1
106,sexta feira 23:23 indo dormir boa noite a todos,1
107,acordei 3am hj e vomitei todo o resto de vida e coxinha q existia em mim,1
108,boa noite a todos menos ao pc siqueira,1
109,tem uma galerinha ai q cria uma conta e segue os mais lixo da internet incluindo eu,1
110,se merda fosse ouro vc valeria muito,1
111,nao consigo parar de mexer a perna fico o dia inteiro pulando na minha cadeira e canso mais do q deveria no final do dia,1
112,sofrendo por ser gotico nesse calor do inferno,1
113,só cumprimento meus amigos se for desse jeito  pic.twitter.com/d6wPxgNbho,1
114,eu posso bom dia.,1
115,foda se nao gosto de torcida de pimenta mexicana,1
116,boa noite familha vo si mata  https://twitter.com/umvanglock/status/1130944106304286726 …,1
117,foda se,1
118,sem tempo irmao,1
119,"mulher posta ""bom dia"" = 72407193 likes 649104 RTS  homem posta ""o senhor e meu pastor e nada me faltara"" = 2 denuncias Vai trabalhar vagabundo nem em deus vc acredita  direitos iguais??",1
120,9 da manha fumando da maconha mais preta q existe em minas gerais eh por isso q sou sequelado nao dou tempo nem dos neurônios se reproduzirem de novo,1
121,bom dia a TODOS,1
122,bom dia um caralho,1
123,boa noite magos ocultos do submundo das trevas Deus abençoe a todos.,1
124,agr sim bom dia @umvanglock,1
125,bom dia??,1
126,BOA NOITE AMORES,1
127,bom dia familia,1
128,bom dia meus aliados o q temos pra hj,1
129,e foi esse tempo q to com ela tbm.. :\,1
130,minha cachorra parou de andar :'(,1
131,bom dia vcs aceitam cafe?  pic.twitter.com/8uv674T5as,1
132,jovens depressivos  vcs estavam certos a vida eh só isso mesmo  segue o baile,1
133,foda se vo beber corote e me drogar em qualquer praça,1
134,sou tao lindo q quando as pessoa me ve elas fala eae blz,1
135,Boa noite BRASIL,1
136,a vida e foda,1
137,sem tempo irmao (sem meme),1
138,mais de uma hora no banco pra nada minha vida meus amigos kkkkk aaaaaaaa meus amigos,1
139,sem tempo irmao,1
140,foda se  https://twitter.com/MomentsBrasil/status/1125020873642184705 …,1
141,Bom domingo a todos pq pra mim vai ser a mesma merda,1
142,to trabalhando igual um filha da puta lendo e escrevendo artigos pra faculdade não to tendo tempo nem de limpar a bunda depois de cagar pq o tempo eh curto amigos,1
143,foda se q eh sexta feira amanhã eu trabalho igual um escravo,1
144,acho que: 1. nao existia bebida 2. nao eh recomendado beber cachaça as 9 da manha  bom dia fer,1
145,bom dia vamos trabalhar,1
146,foda se vei pau no meu cu,1
147,parece eu fazendo estrogonofe todo dia eu faço 😅😅😅😅😅,1
148,entao foda se,1
149,essa foto nossa faz tempo ne,1
150,deus de aliansa deus de promesa deus q nao e homem pra mentiiiii 🎶🎶  uma noite abensoada a todos,1
151,duas coisas q mais gosto nessa vida,1
152,amo vcs amigos,1
153,Eu acompanhei meu garoto crescer parabéns kevao,1
154,que bom ualzinha bom dia pra vc ☺,1
155,bom dia ???????????,1
156,"nao eh da nokia, eh o ultimo aparelho da microsoft e nao eh ruim levando em consideração que faço tudo prlo pc e o celular eh do wpp",1
157,vou abandonar meu emprego e viver uma vida a base de publicações em blogs de esquerda,1
158,faz tempo q nao leio uma verdade assim vo ate assistir canal nostalgia,1
159,dessa pessoa nao esperava essa atitude mais um q tomo exposed  pic.twitter.com/0rvaOrukqt,1
160,bom dia,1
161,a casa vai cair pra vc,1
162,um maravilhoso dia a todos pq pra mim vai continuar sendo uma bosta,1
163,eu tento ser uma boa pessoa todos os dias juro q me considero bonzinho demais ate mas isso nao significa nada quando sua vida ta enraizada num tumulo de sofrimento pelo qual vc NUNCA vai conseguir sair pq esse tumulo eh minja própria cabeça . ser uma boa pessoa nao significa nada,1
164,eu aguento so mais um dia pode se?,1
165,eh foda acreditar nisso vivendo minha vida kkk serio ce nao ta ligado ruan,1
166,oi vida,1
167,Eh.. estou chegando nos últimos dias de vida,1
168,bom dia magos ocultos do submundo das trevas,1
169,mt calor esse dia,1
170,cara eu curso filosofia e sei bem dos beneficios q o pensamento critico e a forma que vc mesmo constrói sua trajetória intelectual influenciam positivamente na vida cotidiana. nao fala bosta galera . vao se foder so um pouco.  grato,1
171,bom dia!! meu cunhado perdeu meu cartão de onibus com 200$ e agora tenho que me foder indo atras dessa caralha obrigado deus,1
172,existir eh uma merda,1
173,"ela e a unica pessoa q sabe.. cheguei nela e falei baixinho ""vo joga mozi""",1
174,..bom dia?..,1
175,a falta de vc bebida ameniza sim 🎵🎶,1
176,eu odeio comida japonesa .. kkkkkkkkkkkkkkk,1
177,tenho prova agr dia 27 e nao tenho acesso ao conteúdo ead eu to mt fodido deus me abençoes vo abandonar a faculdade,1
178,bom dia coisa mais linda da minha vidinha punk  https://twitter.com/Fiuk/status/1121026263769067520 …,1
179,hj e dia de apronta,1
180,verdade.. to meio parado no tempo mesmo,1
181,faz quase um mes q nao faço nada eu pago faculdade pra nada eu sou um fracasso vou me matar,1
182,tem quantas pessoas na sua cidade 8 ?,1
183,sem tempo irmao,1
184,ja vi muita coisa nessa vida mas um trator puxando um grau eh a primeira vez  pic.twitter.com/n0tHcXHiBG,1
185,boa noite a tonelada de lixo vai dormir,1
186,vc e foda. amem,1
187,esse ja morreu agr vc tem q me carregar nas costas vitela o futuro do twitter,1
188,kurama foi o calor do momento,1
189,tava indo pra escola um cara passou me deu uma pedrada na cabeça e levou meu celular cara eu seila vo ter q ir na policia q merda velho :(,1
190,meu sonho e se jogador de futebol,1
191,meio dia pras quatro,1
192,tinha q ter enfiado no primeiro poste essa merda. bjssss,1
193,lendo o livro da vida (biblia sagrada),1
194,broder pode deixar que vou ficar mais frequente aqui. tp apertado com trabalho e faculdade mas organizando minha life,1
195,puta que parou e foda.,1
196,bom dia???????,1
197,comendo pão com lixo,1
198,se tem uma coisa que eu nunca vou fazer na vida eh jogar freefire o joguinho feio..,1
199,odeio existir,1
200,bom dia seus projeto de digital influencer,1
201,kkkkkkk bom dia,1
202,bom dia vamos trabalhar,1
203,faculdade ta roubando o restinho da energia q eu tinha pra jogar lol e ficar olhando pra cima pois olhar pra cima exige esforço.,1
204,queria ter 2 (dois) amigos,1
205,bom dia CARALHO,1
206,SEM  tempo Irmao,1
207,apriori bom dia,1
208,um bom dia e foda se a todos,1
209,"por um momento pensei em abandonar o site, mas eh desnecessário aqui tenho irmaos",1
210,acabei de ver minha sogra mijando bom dia,1
211,criando um msn pra tc com meus amigos,1
212,chico xavier esta certo o mundo acabara dia 21/07/2019 e so restara alefrits flutuando no espaço sideral observando os destroços do q um dia chamamos de terra,1
213,BOM DIA MUNDO VIRTUAL,1
214,Bom dia irmaozinho,1
215,bom dia tenho 8 aninhos,1
216,Eu depois de uma semana na faculdade de filosofia  https://twitter.com/opropriolavo/status/1105193997084094464 …,1
217,cara o Olavo de carvalho pedindo dinheiro eh mt contraditório o velho ganha milhões por ano sonega imposto e so fuma cigarro o dia inteiro,1
218,Boa noite Minha Gostosa deixa EU chupar Este seu pau,1
219,odeio homens,1
220,esqueci um maço de paiero no trabalho eu me odeio,1
221,fuma crack = usuario de crack  algumas pessoas nao tem coragem de dizer a verdade,1
222,sem tempo *bocejo* irmal,1
223,foda se tudo vou jogar lol,1
224,um sonho: ser o fred do desimpedidos,1
225,velho.. to ficando louco,1
226,estados unidos da america = aglomerado de lixo,1
227,15 pessoas q dependiam de aparelhos medicos para se manter vivos na Venezuela morreram graças aos hackers americano q queriam mostrar quem manda,1
228,10 da manha e aula de dissertaçao filosófica,1
229,to tentando me controlar mais emocionalmente e ate q aguentei por mt tempo agr to com vontade de morrer sou o mesmo alessandro,1
230,e a minha maconha q acabou de cair na privada 😂,1
231,SEM TEMPO IRMAO.,1
232,lendo um livro por dia,1
233,bom dia..,1
234,as minhas lagrimas tem sido meu alimento dia e noite,1
235,sem tempo irmao,1
236,"Feliz dia das mulheres a vcs, mulheres",1
237,bom dia vamos estudar.,1
238,Um Bom Lugar Pra Usar Uma Droga,1
239,bom dia magos ocultos do submundo das trevas,1
240,eh legal ver a reaçao das pessoas,1
241,acho q nao pode come droga nunca,1
242,essa pessoa q esta administrando  pic.twitter.com/tBwRSffAHU,1
243,Bom dia papa!! ficou triste??,1
244,bom dia!!,1
245,bom dia verme,1
246,Eh rapaziada q lixo do caralho hein,1
247,sinceramente não sei mais o q fazer da minha vida,1
248,eu sou a pessoa mais miserável e desprezível q existe nesse mundo. nao aguento mais nao aproveitar nem meus momentos de sono pq acordo pensando em me matar,1
249,odeio salsicha..,1
250,eu to chapado foda se,1
251,juntando dinheiro pra comprar uma ferrari ate o momento tenho 64 reais,1
252,q isso cara meio dia ainda,1
253,O cara tem pesadelos todo dia com socialismo nao eh possível  https://twitter.com/jairbolsonaro/status/1102940100189741058 …,1
254,"velho essa anitta nao pode ver uma oportunidade de auto promoção nas costas de outro famoso q no dia seguinte ja tem noticia ""anutta curte com gabriel medina, anitta dança com neymar, anitta come bosta com pablo vitar"" CHEGA!!",1
255,bom dia creepinhu,1
256,Bom dia..,1
257,eu imagino velho deve ser um lixo,1
258,o tema de uma escola de samba nesse ano foi qual o sentido da vida,1
259,KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKVELHO QUAL Q A GRAÇA DESSA MERDA..  https://twitter.com/nine_right35/status/1102704987027750912 …,1
260,acabei de ve essa merda no grupo to chorqndo,1
261,"""Pessoas divididas e sem valores são facilmente manipuladas""  descreveu perfeitamente seus seguidores borororo  https://twitter.com/jairbolsonaro/status/1102574468311011329 …",1
262,bom dia amado,1
263,juro pra vcs nao tem um dia q eu acordo q nao tenha algo q me decepcione profundamente,1
264,eu sou um lixo eu só preciso de coragem pra me matar,1
265,bom dia??..,1
266,serio se vc ta em duvida do q seguir profissionalmente talvez filosofia não seja uma ma ideia. as pessoas estão cada vez mais perdidas e futuramente com a evolução da tecnologia o mundo se tornara um caos bem maior q atualmente.. os robos tomarao nossas posições de trabalho,1
267,q lixo mano nunca mais jogo,1
268,Cada dia um exposed diferente,1
269,puta que pariu q inferno em,1
270,wtf irmao q merda eh essa grava um video descendo dando cambalhota,1
271,Bom dia amizades virtuais.,1
272,sambódromo ja parou pra pensar quão patético eh um sambódromo? um lugar q so serve pras pessoa sambar uma vez no ano por algumas horas,1
273,temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio tempo temos nosso proprio,1
274,alguém paga o boleto da faculdade pra mim,1
275,o silencio de umas pessoas ai diz tudo,1
276,foda se tudo,1
277,boa noite a todos  pic.twitter.com/sFTCqmj4ef,1
278,"verdade, eu fumo a 4 anos",1
279,foda parar pra pensar na vida,1
280,hoje eh o Grande Dia 👍?,1
281,um dia abençoado a todos,1
282,passo o dia inteiro na frente do computador chego em casa vo joga um lolzinho minha coluna ta morta,1
283,boa noite nazistas! se responder = nazista,1
284,pensando bem eu quero q vc se foda,1
285,mt ruim ser um filosofo no século da putaria,1
286,nada contra inclusive tenho amigos q usam,1
287,ah velho nao aguento mais cada dia q passa eu acordo pior vai toma no cu,1
288,pq ta todo mundo criando perfil pessoal cade meus amigos,1
289,cheiro de maconha nesse quarto em puta q o pariu eu vo chama a policia,1
290,agora o league of legends vai cantar foda se tudo,1
291,boa noite amados,1
292,mais um dia q vou viver sem ter coragem de se matar 🙏,1
293,vei ta de boa foda se,1
294,pessoas q ficam ofendidas com as piadinha = pedofilo,1
295,po isso faz tempo manda foto do q vcs estão fazendo agr,1
296,"serio queria entender q merda q ta acontecendo com a internet,, o fim esta proximo",1
297,puts kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk q merda q ta acontecendo na moral,1
298,Minha sogra falando: bla bla bla bla bla qualquer outra pessoa falando: bla bla nla bla,1
299,Sim isso e foda beto,1
300,o cara ligou no trampo querendo trancar a faculdade pq os professores eram comunistas e por conta disso tava tirando zero em algumas materias. compreendo perfeitamente,1
301,padre fabio de merda  https://twitter.com/pefabiodemelo/status/1099450744158257152 …,1
302,graças a deus aqui em uberaba nao precisarei me preocupar com pessoas extremamente alcoolizadas andando na rua sem monitoramento dos seus amigos q estão ainda mais alcoolizados. alcool faz mal a saúde. beba refri,1
303,bom dia amados,1
304,boa noite caralho,1
305,to chegando nos últimos dias de vida ja nao aguento mais,1
306,bom dia fãs do fiuk,1
307,existem dois tipos de pessoa eu e a porra da sua mae,1
308,eh impressionante como os velhos aprendem tao rapido encaminhar imagem de boa noite,1
309,to mt loko de sono,1
310,mt ruim trabalhar amanha vo pedir demissão,1
311,meu irmao e foda os bagulho q ele escreve no meu twitter,1
312,hj foi um dia mt doido dei fuga no guarda pq tava fumando dentro da universidade 😎,1
313,suave eu sou um merda,1
314,amanha vai fazer um dia lindo !!! pena q vc vai passar o dia inteiro dentro do escritorio em frente a um computador fazendo lindos planos pra sua vida mediocre (eu),1
315,calma vida eu to aqui,1
316,bia noite caio,1
317,NUNCA NESSA VIDA,1
318,ja subiu pra mente no priximo eu te do,1
319,Mano eh impressão minha ou hoje o dia tá meio @PyongLeeTV cristão/magico/coreano ??,1
320,Peço desculpas a todos mas estarei me afastando um pouco dessa rede social pois vou trabalhar no horario da tarde Adeus amigos virtuais,1
321,Cola no subway aqui entao pra gente ter uma conversa civilizada mas so se vc for homem o suficiente,1
322,Estao satisfeitos???? vcs destruíram a vida do vovo do slime e hj ele SE MATOU comendo cola! Luto vovo do slume,1
323,mais um dia q minha sogra ta viva e eu tb dia triste com certeza,1
324,bom dia gente fina,1
325,30 mil pessoas com nao eh nao tatuado essa dai eu gaitei fino aqui,1
326,o cara se acha estrelinha do twitter por ficar postando meme o dia inteiro Kkkkkkk Vo Nao Quero Nao,1
327,q q ta acontecendo com vcs?? tao me tratando feito lixo,1
328,queria q meu corpo morresse pq minha alma ja esta no inferno.,1
329,olha foda se,1
330,nunca q eu vo joga esta merda,1
331,se matar deixou de ser uma vontade e se tornou uma necessidade. eu PRECISO fazer isso o mais rapido possivel. nao posso me permitir viver mais esse ano nesse inferno de vida patetica e vazia,1
332,conviver com gente doente da cabeça eh muito desgastante ainda mais pra mim q ja nao sente o menor prazer na vida,1
333,minha vida eh uma piada eu sou obrigado a passar por tanta coisa q consegui transformar parte do odio q sinto em humor . viver na minha pele eh uma tortura,1
334,que lixo acordar mano que lixo vai toma no cu odeio existir,1
335,boa noite mozi,1
336,boa noite amigos 👍,1
337,mano to bebado q lixo,1
338,Eh isso ai capitão! Somente progresso!! Vamos acabar com a vida desses pobres filha da puta!!!!,1
339,q vc tenha um dia abençoado,1
340,bom dia Deus,1
341,tava assistindo uns videos ai e to meio assustado agr parece q nesse ano tera um contato alienigena mas tipo eu nem sei como conversa com um alien mano q lingua sera q eles fala,1
342,ja acordei me sentindo um puta merda aparentemente o dia sera normal hoje,1
343,bom dia??,1
344,droga,1
345,a vida eh como uma roda gigante um dia vc ta em cima outro dia vc ta embaixo e quebra,1
346,mas ta mo chuva velho vc ta louco kkk,1
347,eu sou um lixo,1
348,ta usando droga rapaz,1
349,tenho uma caralhada de coisa pra fazer hoje LIXO,1
350,parece q não dormi nada essa noite toma no cu mesmo,1
351,bom dia primo  q q pega,1
352,tipo so to jogando lol pq minha vida eh uma merda mesmo,1
353,"hoje faz dois anos que nos casamos e decidimos viver nossa vida inteirinha juntos. foi a melhor decisão da minha vida. e com isso, quero te dar o melhor, pra sempre! pq vc merece tudo. vc merece o mundo, amor  eu te amo, carol ❤ pra sempre e sempre  pic.twitter.com/TIJqf9KXWa",1
354,bom dia magos ocultos do submundo das trevas,1
355,Salve. To preocupado com a situação socio econômica do pais zuera qro mais e q se foda.,1
356,puta merda meu carro ae,1
357,ah cara bom dia,1
358,hj nao vou a faculdade  ja faz 22 anos q nao faço isso,1
359,ah velho eh foda,1
360,ta tipo foda esse mundo ne..,1
361,vc quer acabar com a minha vida fala logo,1
362,eu so ruim reconheço,1
363,"obrigado mano! mas eh isso ai velho, fazer o que, que se foda mesmo",1
364,a carol acha q o Bolsonaro na verdade esta com câncer no estomago mas estão escondendo isso pra aplicar um futuro golpe . q vcs acham?,1
365,me sentindo um lixo ao quadrado,1
366,q merda e vaper,1
367,@PyongLeeTV faz uma magica e faz meu pinto crescer,1
368,boa noite a todos vou repousar amanhã voltamos com a programação normal,1
369,esperando o cunhado chegar com a maconha mt ruim ficar 2 horas sem fumar,1
370,caralho irmão q se foda kkk,1
371,bom dia,1
372,inferno,1
373,PUTA QUE PARIU EH FODA,1
374,"a pessoa ve uma imagem na internet e pensa ""muito eu"" ai compartilha a imagem",1
375,q DEUS tenha piedade da minha alma nao me deixe queimar eternamente no fogo do inferno,1
376,bora nestorizin vamo curti a vida,1
377,..bom dia?,1
378,cantando nirvana mentalmente q merda q ta acontecendo,1
379,bom dia vai toma seu leite com toddy,1
380,falar na internet eh fácil mas e na vida real ce faz isso tudo q ce fa mesmo?,1
381,q merda eh essa. ta apaixonado ?,1
382,bom dia site!!,1
383,minha sogra eh a pessoa mais insuportável q eu conheço,1
384,bom dia!! pronto pra mais um dia de merda,1
385,kevao nao importa qual lofi eu escute SEMPRE vem vc na minha mente sera q to apaixonado ou eh so broderagem,1
386,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk vc seu racistinha de merda fica fazendo piada racista #denunciemvanthecreator,1
387,nao sei onde ficar qualquer lugar aqui eh um inferno,1
388,Vida lixo,1
389,caralho ce tomo block do frota ?? foda!!!!!  pic.twitter.com/F13pGbHH05,1
390,kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk tu eh a porra dum merda rapaz,1
391,pelo jeito ligaram o wifi do inferno,1
392,Tão natural quanto a luz do dia Mas que preguiça boa Me deixa aqui à toa Hoje ninguém vai estragar meu dia Só vou gastar energia pra beijar sua boca  pic.twitter.com/EAVaKK1Qxh,1
393,Olá aqui é a mãe do  @alefrits   venho informar que ele foi encontrado morto a cerca de 1hr atrás Segundo os socorristas do samu disseram que ele estava com a coluna quebrada devido ter tentado chupar o proprio pinto. Orem por ele.,1
394,to misturando português com ingles ja foda ser bilíngue,1
395,nao consigo sentir paz em nenhum lugar,1
396,enterrei dois sonhos grandes meus durante essa vida o de ganhar a vida com musica e o de ser filosofo,1
397,tipo acho q o dia ja podia acabar,1
398,boa noite caio vo dormir,1
399,o dia hoje nao quer passar de forma nenhuma. dormi e acordei umas 3x ja e ainda eh 16h da tarde si fude,1
400,da mesma forma q eu quero q vc tome no seu cu eu quero q vc se foda tbm,1
401,isso eh um cachimbo ou aquilo q as pessoas usam pra enfiar no cu?  pic.twitter.com/DDDYEymMKL,1
402,bom dia,1
403,nem sei q merda eh meu deck eu sou mt ruim,1
404,na vida real fiz amigos no twitter fiz irmaos,1
405,nao acho normal alguem achar agradavel feijoada,1
406,meu sonho um dia ir num festival desses  https://twitter.com/bmthofficial/status/1090278736568770560 …,1
407,agora eu to bem triste liguei a merda do notebook so pra jogar joguinho de carta e os servidores estão em manutenção.. tinha esquecido desse detalhe..,1
408,droga queria jogar hearthstone,1
409,o wifi da noite do terror do playcenter caiu? sua mae aquela demonia nao ta online..,1
410,hj eh seu dia,1
411,eu sou mt ruim no jogo de cartas nao joguem comigo por favor..,1
412,muito ruim ser um incomodo ate pra mim mesmo kkkk,1
413,queria ta tocando um legião urbana em uma roda de 'amigos ' agr,1
414,bom dia perdi o sono amigos,1
415,jogar mais uma e dormir não aguento mais o dia de hoje meu deus,1
416,minha vida  https://twitter.com/9GAG/status/1088919954198577154 …,1
417,Cristiane Brasil lendo Homo Deus um dos melhores livros q ja li na vida . mundo esta entrando nos eixos,1
418,o big bang nao eh aquele desenho q passava na tv cultura de dois vasos q tinham vida própria ?,1
419,O capitalismo um dia tera seu fim,1
420,comprei um deck foda agora ngm me segura.,1
421,ate o momento nao me manifestei. estou guardando argumentos pra melhor hora,1
422,eu q faço a pessoa me bloquear sempre eu so um demonio,1
423,"bom dia amados. como vcs dormiram hoje? nao vale falar ""deitado, de olho fechado"" nao ein hahahah!!",1
424,eu sou mt ruim nesse joguinho vai toma no cu ale,1
425,e se a sexta feira 13 cair numa terça feira dia 9?,1
426,minha vida eh uma piada Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
427,o dia nem começou e eu ja quero q acabe,1
428,bim dia,1
429,boa noite amizades virtuais,1
430,mnao q sono vai toma no cu,1
431,um dia a gebte fuma um padrin,1
432,"nessa porra dessa internet so tem falácia de hipócrita lixo q tenta justificar seu proprio erro inventando historia pra fazer coitadismo pros outros sentirem do dele. Mesmo nao sendo um relacionamento, eh abusivo e isso mostra q tu nao eh homem de vdd.. eh so + 1 mlkin frustrado",1
433,bom dia Orkut,1
434,Grande dia 👍  https://twitter.com/valoreconomico/status/1088527048992264194 …,1
435,Grande dia 👍,1
436,Pensando em suicidio 24 horas por dia. Tudo normal por aqui,1
437,eu achei.. vou mandar nos grupos aqui e ver o q meus amigos acham.. espero q eles não zoem vc :(,1
438,bom dia amor,1
