,tweet
118,"Quem comentou, não dá para ver, deve ser perfil restrito"
119,Em que área a sua vida precisa de uma mudança gritante no momento? #QUINTADetremuraSDV
120,"Me desculpem por estar sumido do tt, estou enfrentando vários problemas... Mas saibam que tenho um carinho imenso por todos vocês"
121,"Gente, deem o melhor de vocês para TUDO, mas não se matem e nem desgastem a saúde mental de vocês para conseguir conquistar tudo isso. É tudo no seu tempo, se não acontecer esse ano, você tem uma vida inteira. O importante é não deixar isso acabar com vocês"
122,"Os pais não entendem o quanto é DESTRUTÍVEL receber essa pressão IMENSA deles para estudar loucamente pra passar na faculdade, arrumar um bom emprego e depois construir uma família"
123,Todo dia sofrendo e me deixando destruir pelos mesmos motivos
124,"Posta textinhos moralistas de empatia e conscientização na internet, mas não quer andar com o amiguinho depressivo porque ""atrai más energias"""
125,"Minhas energias estão tão negativas e pesadas, que já acordo cansado e me arrastando da cama"
126,"É tão ruim ir dormir e já sofrer por antecedência por saber que terá de acordar e viver mais um dia, de novo..."
127,"Quando fica aquela lacuna na alma e a gente não consegue preenchê-la com nada nem ninguém é tão desesperador, angustiante, intrigante..."
128,"Difícil acreditar que vai melhorar, quando tudo que você conhece é a dor"
129,"A vida é um porre de qualquer jeito, mesmo se estando sóbrio"
130,A vida não tem sido gentil comigo
131,"Ah quem me dera se fosse uma tristeza temporária, só mais um dia ruim..."
132,"Eu só queria um pouco de paz, e alguém para amar."
133,Odeio o fato de ter que lutar pra manter as pessoas por perto. Parece que ninguém quer estar ao meu lado por livre e espontânea vontade...
134,"A gente desmorona, chega no nosso limite todos os dias, somos guerreiros, por tentar viver algo que não se pode chamar de vida."
135,"Ser feliz é uma virtude, porém não dá para sorrir e se sentir bem o tempo inteiro, não é saudável."
136,Tudo bem desmoronar por uns tempos. Não tem problema admitir que te machuca.
137,Odeio agir o tempo inteiro como se tudo estivesse bem
138,É horrível não saber o que fazer consigo mesmo
139,"Eu vivo interpretando papéis, e já nem sei mais quem sou."
140,É uma droga deixar alguém te conhecer por dentro
141,"Quem diz que me entende, nunca quis saber"
142,"Estou cansado de ser vilipendiado, Incompreendido e descartado"
143,o medo de ficar sozinho me fez ser a pessoa mais solitária do mundo
144,"Aqui não para de chover, desde que você se foi"
145,"A minha vida se tornou um café fraco, amargo e frio."
146,Meu coração é um bar vazio tocando Belchior
147,"Me rendi para a vida faz tempo, mas ela continua me destruindo..."
148,Talvez eu de fato funcione melhor sozinho.
149,"Mundo fechado, feridas abertas."
150,Eu estou cheio de me sentir vazio.
151,Ultimamente levantar da cama tem sido cada vez mais difícil para mim. Enfrentar mais um dia.
152,"Ah, o meu coração se parte a cada passo que dou"
153,"A depressão é uma doença silenciosa, quando você se dá por si já está em estágio avançado."
154,Que esse ano seja um ano melhor para nós
155,"Se as pessoas dissessem como realmente se sentem, as ruas estariam inundadas de lágrimas..."
156,Dizem que eu não estou sozinho... Mas olho para os lados e não vejo ninguém aqui comigo.
157,Sentir demais e ao mesmo tempo não sentir nada.
158,Somos prisioneiros dos nossos próprios sentimentos
159,"Atualmente falar ""quero morrer"" virou algo tão normal, que você pode falar a vontade. Pois, ninguém cogitará a possibilidade de que você está realmente querendo se matar."
160,"- ""fique bem""  + ""te farei ficar bem"""
161,"A depressão tem várias ramificações, impulsionam vários outros tipos de sentimentos além da tristeza sem fim. É destruidor sentir tantas coisas ruins ao mesmo tempo."
162,"A vida de quem tem depressão é muito difícil. Ter inseguranças, baixa autoestima(não somente de aparência), complexo de inferioridade, e tudo mais. É como se todos ao nosso redor fossem melhores do que nós. Aquele sentimento de impotência, de não se sentir capaz de nada destrói."
163,"Na escrita encontrei minha melhor terapia e forma de me expressar. Eu sei que ninguém que ler irá me ajudar, também sei que alguns sentimentos não dá para ser descritos. Mas guardar tantos sentimentos ruins, pode ser fatal para um ser humano."
164,"Tentei por diversas vezes dar uma revira volta na minha vida, tentando conquistar alguma coisa, ou buscando a força espiritual. Bom, eu fracassei ou não soube procurar direito, apenas não consegui nada."
165,"Passei a desconfiar de qualquer demonstração de afeto que me davam, porque para mim estavam querendo me enganar, dizendo que se importavam. Alguns amigos foram se afastando, e de outros eu mesmo me afastei. Parecia que eu de certa forma, funcionava melhor sozinho."
166,"Passei a ser tão pensativo, vivendo mais nos meus pensamentos do que em minha própria casa. Era difícil me olhar no espelho, evitava ao máximo ver minha imagem refletida onde quer que fosse. Fotos em família? Não apareço em nenhuma, pois odeio minha aparência."
167,"De repente me vi optando por ficar sozinho, me isolando, me preservando. As coisas que costumavam me animar e me deixar feliz foram perdendo a graça. A vontade de sair de casa passou a ser zero, meu quarto era o único lugar onde eu queria estar."
168,"Você me faz querer morrer, e eu nunca serei bom o suficiente."
169,"Como um canceriano, concordo plenamente"
170,+
171,+
172,Pessoas de qual signo sofrem mais?
173,"Mas eu não tenho nada contra a felicidade, é ela que não vai com minha cara."
174,"A depressão é tipo uma doença sem cura. Te mata aos poucos, acaba com sua saúde mental, até um dia acabar com você por inteiro."
175,"Evitou piscas os olhos, pois sabia que tal ato traria uma enxurrada de lágrimas."
176,"Ninguém se importa com o que você sente, além de você mesmo."
177,Só nós mesmos temos consciência da dimensão da dor e tristeza que carregamos na mente e coração.
178,Eu nunca estive tão destruído em toda a minha vida.
179,"Quando você acorda tão mal, mas tão mal, que não consegue conter as lágrimas logo nos primeiros segundos do seu dia."
180,"Saúde física relevante, mas em compensação a mental, está mais do que péssima"
181,"Olhar no espelho e odiar o que se vê, é uma das coisas mais tristes do mundo.... Não se aceitar de modo algum."
182,"Não sei se o que ando passando pode-se chamar de ""vida"", mas sei que já não aguento mais."
183,Todo dia há algo para se lamentar.
184,"Tem sido difícil até para levantar da cama, é como se eu tivesse um peso nas minhas costas e ficar deitado ali é mais confortável."
185,Cheguei ao ponto de achar mais que insuportável cada respiração que tenho.
186,"E a dor é maior do que parece, quando ela se corta ela se esquece..."
187,"Carrego uma energia tão negativa e pesada, que mal consigo levantar da cama..."
188,"Eu só queria um pouco de paz, e alguém pra me amar."
189,Meus planos dão errado antes mesmo de eu colocá-los em prática.
190,"Falhando miseravelmente em tudo que faço, ou tento fazer."
191,"Nesse campo minado chamado vida, a cada passo que dou eu me machuco um pouco mais."
192,"Nos rendemos por tão pouco, por medo de experimentar o gosto amargo da solidão."
193,"Pois quando se é jovem, tudo parece ser o fim do mundo."
194,"Meu Deus, não me deixe ficar assim sem acreditar em nada..."
195,No estágio terminal da vida
196,Palavras ferem mais que o soco do agressor.
197,Como dizem: o suicídio começa por dentro.
198,Coisas pequenas me atinge tão fortemente... Por isso minha alma se encontra tão pesada e triste.
199,"Eu foco na dor, a única coisa que é real"
201,"É que a vida conhece os meus pontos fracos, e investe neles pra me destruir"
202,"Aquele velho ditado de que mente vazia é a moradia do Diabo, nunca foi tão verdadeiro pra mim."
203,"Parte de mim quer fugir, outra parte não consegue viver sem você."
204,"De amor ninguém morre, mas em compensação sofre demais."
205,Aquelas companhias que te fazem se sentir mais sozinho do que se estivesse mesmo sem ninguém do lado.
206,Mas eu não tenho nada contra o amor. É ele que não vai com a minha cara.
207,"Um humor tão instável, amor próprio quase inexistente e tão frágil. Qualquer coisa pode me derrubar."
208,Palavras machucam e a falta delas também.
209,Cair de um penhasco doeria menos do que ouvir essas palavras.
210,"De certa forma, a dor vem provando para mim mesmo que não estou totalmente em óbito, que ainda sinto algo."
211,"Bom dia pra quem, pelo amor de Deus?"
212,"Espalhe amor, porque de dor e sofrimento o mundo já está cheio."
213,Quem é mais sentimental que eu?
214,Pois somos balões cheios de  sentimentos em um mundo repleto de alfinetes.
215,A gente abre a ferida na pele de quem nos ama
216,"Eu nunca precisei de drogas, tudo que eu amei me destruiu o suficiente."
217,"Sinto sua falta mesmo estando aqui. Sinto falta da proximidade que tínhamos, de tudo."
218,Odeio aqueles fins sem pontos finais
219,"Um coração magoado é capaz de tudo, as frustrações mudam e a vítima não responde por si."
220,"O mundo não irá parar de girar, só porque alguém partiu o seu coração."
221,Eu vi o tempo passar e nada mudar
222,"Tenha um bom coração, mesmo que nele haja dor."
223,"Não me deixe esperando, numa cidade tão morta. Pendurado tão alto, numa corda tão frágil."
224,"Com meu coração se despedaçando a cada passo que dou, eu sigo em frente."
225,"E eu estaria mentindo, se eu continuasse escondendo o fato, de que, eu não consigo lidar com isso. -13 beaches"
226,"Dói te amar, e mesmo assim eu te amo. É só o jeito como eu me sinto."
227,"Tenho a sensação de que até mesmo se eu começasse tudo do zero novamente, iria de uma forma ou outra, chegar onde estou hoje."
228,A cada expectativa uma frustração diferente
229,Eu já estou acostumado a ser maltratado por mim.
230,Tornei-me tudo aquilo que eu temia ser um dia.
231,Talvez tenhamos existido apenas na minha mente. Droga.
232,"Porque a vida que leva não é a mesma, e essa rotina já não satisfaz."
233,No final só me restam memórias e cicatrizes.
234,A saudade arde e me afoga.
235,"E quando a dor não lhe couber, transforme-a em poesias."
236,Tudo que eu queria era começar a minha vida do zero
237,"Um dia eu vou morrer, um dia eu chego lá..."
238,"Ausências causam esquecimento, por vezes não é bem assim. Porque quanto mais te afastas, mais eu penso em ti."
239,"Mas a vida? A vida é um porre de qualquer jeito, mesmo você estando sóbrio."
240,"A vida é um jogo, e eu nunca fui um bom jogador."
241,Eu odeio todas as vezes que amei você antes de mim.
242,A vida é uma morte lenta e dolorosa.
243,É tão contraditório a vida me fazer morrer aos poucos
244,Você aprende a constatar que a vida é uma merda quando o seu conceito de felicidade se resume em passar o dia todo dormindo.
245,"Cada dia mais tem sido mais difícil levantar da cama, enfrentar mais um dia."
246,"A gente mede atitudes e palavras com medo de magoar alguém, mas quando é conosco ninguém retribui esse cuidado."
247,"Por mais destrutível que seja, prefiro ser magoado do que ousar magoar alguém."
248,"A vida é um barco, e eu já naufraguei."
249,Os dias são um desejo de morte
250,Só você mesmo sabe a dor e tristeza que carrega no seu coração.
251,"Não é engraçado brincar com a insegurança, falta de autoestima, paranoia, tristeza, e problema do outro. É destrutivo, é falta de caráter."
252,Há feridas que nem mesmo o tempo consegue cicatrizar.
253,"A vida é uma viagem, obrigado pela carona"
254,"A vida é feita de superações. De coisas, pessoas, ou até de nós mesmos"
255,"A única pessoa que pode mudar a minha vida sou eu mesmo, e esse é o problema."
256,"Estou preso na minha própria zona de conforto, onde me encontro completamente desconfortável."
257,"É como se eu vivesse o mesmo dia todos os dias, vivo dias vazios onde nada bom acontece, onde torço para chegar a noite e finalmente dormir."
258,"Prefiro viver na minha própria mente, lá posso ser feliz quando eu quiser."
259,"Não ando com ânimo para nada, respiro porque é um ato involuntário."
260,"A noite chega e é como se o peso do meu mundo viesse nas minhas costas. Meu fardo é pesado, meus sentimentos me matam."
261,"É tão sufocante guardar o que sentes para si, mas sempre é o melhor a se fazer."
262,Alguém me livre desse nada que me tornei
263,Só hoje eu já morri umas 100 vezes internamente
264,Simplesmente há amizades e amores que não foram feitas pra durar pra sempre. Por mais que você queira que dure.
265,"A gente tenta, acredita que virão dias melhores, e que tudo isso é uma fase. Mas o tempo passa e parece que nada irá mudar."
266,Eu só queria um dia levantar da cama e ficar feliz por isso
267,É tão contraditório o fato da minha vida me matar todos os dias.
268,"As vezes tudo que precisamos é de um abraço e uma frase de encorajamento, mas nem isso as pessoas fazem pelo próximo."
269,Olha o que o tempo faz... Eu nem me reconheço mais.
270,O que aconteceu comigo? Eu costumava sonhar tanto e hoje mal levanto da cama
271,"Provei o gosto amargo da vida, e preferi não consumi-la mais."
272,Gostaria que minha força de vontade fosse maior que meus problemas
273,"O que me mantém ""vivo"" é o coração batendo e cérebro funcionando"
274,"Nada dura para sempre, exceto a minha dor."
275,disappointed but not surprised
276,"Cada um carrega um inferno particular dentro de si, e se não fosse o bastante, vivenciamos um outro no dia a dia."
277,Cadê você para me dizer que tudo isso vai passar?
278,"Bem aventurados os que mentem, felizes os que não sentem."
279,Nós somos fortes pelas cicatrizes que possuímos.
280,"Às vezes o amor não é o suficiente, e a estrada fica difícil."
281,Eu só queria dormir e não ter a oportunidade de abrir os olhos novamente.
282,"É tudo tão triste, parece que nada funciona sem você."
283,"Não é a distância que afastam as pessoas. É a indiferença, é o ""tanto faz""."
284,"Como é péssimo se sentir um ""tanto faz"" na vida de quem se ama."
285,Com o tempo tudo acaba se desgastando.
286,Cansado de tudo e de todos. Porém sigo em frente por não ter outra opção.
287,o meu semblante triste e cansado já respondem por si
288,como as pessoas ainda tem a coragem de olharem para mim e perguntarem se estou bem?
289,"Mania de me comparar com tudo e todos, me perguntando o porquê de eu não ser como eles."
290,"Eu tenho a mania horrível de me auto julgar o tempo inteiro, de me desqualificar e me inferiorizar para as pessoas."
291,vote*
292,"Você naquilo que você gostaria que saísse da sua vida, e dê rt pra funcionar"
293,"Na vida eu me encontro à beira de um penhasco, no meio fio. Onde estou totalmente vulnerável a queda sem volta."
294,Chega com tanta insegurança que cai do cavalo cinquenta vezes antes de tomar alguma atitude.
295,Eu não gosto da pessoa que as circunstâncias da vida fez-me tornar.
296,É tão exaustivo sempre ficar triste pelos mesmos motivos
297,A solidão interna é o pior castigo que a vida pode te dar
298,"Acha que sua indiferença vai acabar comigo? Eu sobrevivo, eu sobrevivo."
301,"Esse ano, com certeza, está sendo a continuação de 2016."
302,Não me mostre o paraíso e depois o destrua.
303,A vida é triste demais
304,Hoje não foi um bom dia
305,Ser uma pessoa triste é muito desgastante.
306,"A pior coisa é quando mudam contigo do nada, aí você não sabe o que fazer e se sente péssimo."
307,"Malditas palavras mal ditas, que estragam meu o meu humor todos os dias."
308,Chateado com metade do mundo e a outra metade eu não consigo conversar.
309,Se eu resolvesse fazer uma fita para todos os motivos que me matam todos os dias eu nunca iria acabar
310,E eu me fiz em mil pedaços para você juntar
311,Para te confundir eles dizem que é coisa da sua cabeça
312,Queria que essa cultura de me abandonar acabasse
313,Todos que eu amo me deixam no final
314,"Eu me concentro na dor, a única coisa que é real."
315,"É intrigante ver que, foi preciso uma série para as pessoas perceber, que depressão, bullying e ansiedade não são brincadeiras."
316,Eu não tenho mais a que desistir
317,"Não adianta comparar dores, nem problemas. Quem é sentimental sofre com pequenas feridas intensamente da mesma forma."
318,"Não é questão do tamanho do problema, e sim o quanto ele consegue te afetar emocionalmente"
319,"Estou tendo ""dias difíceis"" desde que eu me entendo por gente"
320,com certeza
321,Citem algo mais instável que o meu emocional e falhem miseravelmente.
322,O antônimo de amor é a indiferença.
323,"Eu não queria sentir tudo isso outra vez, droga."
324,13- hoje dia 30/03 estou mais inspirado do que nunca em descrever o que sinto por estar com o coração partido
325,"E quantas vezes você não se pegou olhando para o passado, se questionando o porquê de tudo ter mudado."
326,"Memórias boas costumam ser ainda mais destrutivas. Pelo simples fato de serem memórias, não mais realidade."
327,Tenho tanto medo de nunca ser feliz.
328,"É tão destruidora a sensação, e quase certeza, de que algo bom em sua vida está acabando."
329,"Parece ser tudo tão triste, parece que nada existe sem você..."
330,Eu faço tudo errado
331,"Eu tenho tanto medo de mudanças, e quando elas acontecem eu não sei o que fazer."
332,quando o olho enche de lagrima e a garganta da um nó
333,"Não guarde as palavras pra si, diga o que sentes, mande as pessoas a merda. Não se afogue em teus próprios sentimentos."
334,"Ter complexo de inferioridade é morrer lentamente, nada pior do que se sentir inferior a todo mundo."
335,"Sinto pena de quem precisa de alguém pra ser feliz, sinto pena de mim mesmo."
336,"Odeio me importar demais, com coisas que deveriam passar despercebidas."
337,"De dentro desse poço escuro e fedorento, eu não sinto mais nada além de dor e sofrimento."
338,"Nem a morte me trará a solução, meu castigo é a vida, caminhar sem direção."
339,Nada mais destruidor do que não se sentir bem consigo mesmo
340,Pesadelos reais que vivo todos os dias
341,Um pesadelo horrível me acordou nesta manhã
342,Perdi minha autoestima faz uns 84 anos
343,Só hoje eu já desejei a morte um milhão de vezes
344,Nunca julgue uma dor que nunca sentiste
345,Não estou preparado psicologicamente para levantar amanhã e viver mais um dia.
346,Então vamos chorar com vontade até cairmos num sono
347,"Queria ir para um lugar onde ninguém me conhecesse, e tentar recomeçar, sendo quem eu quiser ser."
348,"Depressão não é ter tristezas momentâneas, se sentir vazios às vezes ou desejar morrer uma vez na vida."
349,"Então deixa que o tempo vai, gravar a tua voz em mim, pra que eu possa te ouvir, toda vez que eu precisar."
350,Eu tento.
351,"Todos nós vamos morrer, que circo! Só isso deveria fazer com que amássemos uns aos outros, mas não faz."
352,Depressão fora do normal típica de domingo
353,"Não sou fã de bebidas, mas um porre nesse momento não me cairia mal."
354,Hoje é só mais um daqueles dias em que nada faz sentido e tudo te desmorona.
355,"Sentimentos ruins, intensos e repetitivos que insistem em voltar e tirar a minha paz."
356,"Estamos tão acostumados com tudo dando errado na nossa vida, que quando algo começa a dar certo, estragamos tudo"
357,A vida é um eterno tapa na sua cara
358,"É que você nasceu pra ser espinho, e eu cicatriz."
359,estou aqui
360,De coração partido a gente segue em frente.
361,"De tanto me compararem com as pessoas, agora eu automaticamente faço isso para me sentir mal."
362,É difícil escrever o que sinto quando as lágrimas invadem meus olhos borrando a minha visão.
363,Pra que desabafar? Ninguém irá me entender...
364,Que Deus me perdoe pelos pensamentos que tenho sobre tirar minha própria vida.
365,"Alguém te perguntou como é que foi seu dia? Uma palavra amiga, uma noticia boa, isso faz falta no dia a dia."
366,Tudo seria tão mais fácil debaixo da terra.
367,"Nos rendemos por tão pouco, por medo de experimentar o gosto amargo da solidão."
368,A vida e suas eternas incertezas.
369,Me fez voar tão alto para cortar minhas asas no final.
370,Eu nunca estive tão destruído em toda a minha vida.
371,"Eu pago um alto preço por pecados que não cometi, e recebo da vida aquilo que não plantei."
372,Cansei de ser escravo de sentimentos ruins.
373,"12- quando criança eu tinha um amigo imaginário, era tão carente de companhias que inventei a minha."
374,11- eu pulei o número nove sem querer.
375,"10- eu tinha uma vida tda  programa,fazer faculdade, arrumar um emprego, ser alguém. Hj eu só qro ficar no meu cantinho e não sonhar mais."
376,"8- meus pais não levam a sério a minha depressão, falam que é falta de Deus."
377,7- passo a maior parte do tempo desejando ser qualquer outra pessoa que não seja eu.
378,6- já tentei tirar a minha própria vida diversas vezes mas nunca deu certo.
379,"5- eu já tive muitos amigos, e todos me trocaram e me descartaram de alguma forma. Hoje sou sozinho."
380,4- muitas vezes eu já chorei no meio da aula refletindo sobre a minha vida.
381,3- já fiquei dois dias seguidos trancado no meu quarto numa das minhas piores crises existenciais
382,"2- qualquer coisa me atinge de alguma forma, por mais simples que seja."
383,"1- desde criança eu tinha um instinto depressivo, sempre fui inseguro em tudo, e me auto isolava em qualquer lugar."
