,tweet
234,Qual é o nome do seu:  1. Tuta 2. Marcela 3. Débora 4. Lucas 5. O pastor 6. Lil Felipe 7. Lil Felipe  8. Marcela 9. Amanda 10. -  Deixa um emoji que te mando as perguntas
235,eu to cansada do mundo eu to cansada de tudo
236,"UMCERTO BOLA NAS COSTAS, não é globalismo, mas sim globalização. Mercosul e UE assumem um papel de relações comerciais importantes. Será uma ampla integração política e econômica que trará investimentos externos para o país. A esquerda anda na contra mão do progresso. São atrasos"
237,Oi kk
238,"Não sério, me explica pf"
239,AI Jesus!! Quem foi miga??
240,"Que orgulho! Acabei de ajudar a @CervejariaAmbev a doar R$100 mil reais para a Casa 1 e Casinha. Pra fazer o mesmo, é só tweetar o que significa #OrgulhoDaMinhaHistoria pra você 🌈🍺 Cada tweet vale 1 real. Bora!"
242,O corno do Ademir n responde deve ta dando grau
244,"E na cueca tinha o que mesmo, corrupto! Quebrou o cu maior negociação da história! E a OCDE vem aí!"
245,Olá meu amigo. Falaste comigo?
246,"eu esqueci a senha, mo"
248,Kkkkkkkkkkkkk eu amo sua mãe
249,"aaa me fala uma serie teen, amo"
250,Exato kkkk
251,"Ridículo isso pqp, não consigo acreditar que isso ainda acontece na época em que vivemos as pessoas ainda tem essa ideia terrível na cabeça. Aí que ódio"
252,Vcs aí kkkkkkkkkkkkk
253,"Prometo te dar carinho mas gosto de ser sozinho, livre pra voar."
255,então fica assim..
257,Kkkkkkkkk hoje em dia eu só funciono com um engov
259,"Ciúmes do que nem é meu, mas vai ser 😊"
260,"Malu, a muqueca do bandejão é meio borocoxó... Triste Era de peixe, mas eu comi a de banana que tava uma delícia"
261,óbvio
262,kkkk para garota não é
264,"porra, tem partidas q ei fico bem e tem partidas q nao"
265,Isso é a prova de que eles querem nos encurralar. Nos manter reféns para poder ter o que prometer na próxima eleição. Resistiremos!
267,putzzz
268,começo uma carreira desenhando hentai
271,"obrigada, amiga! tu tbm foi um presente nessa cidade. torcendo demais pra que essa próxima etapa da tua vida seja maravilhosa <3"
272,alguem para me dar a skin da lulu troco por pack de pé
275,sinto tanta falta dele mas sinceramente não vou mais ficar chamando n
277,N posso vê roupa preta que quero comprar
278,Çocorro o gif me fez rir mais ainda 😂😂🤷🏻‍♀️🤦🏽‍♀️🤦🏽‍♀️
279,É doidaa kkkkk
280,nam joohyuk: a  eu: que INFERNO de homem LINDO
281,"❗️ VAMOS LÁ, SEM MENTIR ❗️ ❗️- Já  ❗️- Sim kkkkk ❗️- Já  ❗️- A ❗️- S ❗️- Sim ❗️- Sim ❗️- 23/06 ❗️- Clarooo kkkk  Fav que eu mando"
282,"To rindo muito do Macaé, mano!! 🤣🤣🤣🤣🤣"
283,alguém tem uma saia preta rodada p me emprestar até amanhã?
285,E  não é  🤔
286,"E se você terminar Não perco, não perco meu tempo se me ligar Se arrepende e quer voltar Não perco, não perco meu tempo pra te escutar, ai!"
288,Papai vai salvar meu lanche hoje
289,prova no sabado eh casca grossa
290,"Achei a arena do grêmio giganteeee, bonita, acústica legal, porém menos luxuosa, podemos dizer que mais cara de estádio que de arena, se é que vocês me entendem."
293,"Que orgulho! Acabei de ajudar a @CervejariaAmbev a doar R$100 mil reais para a Casa 1 e Casinha. Pra fazer o mesmo, é só tweetar o que significa #OrgulhoDaMinhaHistoria pra você 🌈🍺 Cada tweet vale 1 real. Bora!"
294,Agora me sinto mais leve
296,hoje foi kkkkk 🙌🏾🙌🏾😂
297,PARABÉNS MO VC MERECE TUDO 💜
299,@sabrina33543445  sabe que tenho ciúme dela e me fala que tá na casa de fran .. ruuuuuum
300,Minha amizade nao ta sendo suficiente ne? 👏👏👏👏
301,Minha foto de perfil tá top😎😎
302,oq me resta é tocar um violino
303,"Amostra grátis, o pack ta 20"
304,"simmm eu entendo, e também tem questão de que maturidade se tem com experiências e uma pessoa de 14 querendo ou não não vai ter tanta experiência quanto alguém de 17... entendo"
305,queria sair c o mareno amanhã
310,minha prima de 13 anos querendo ir na academia ???????????
312,Que te valga
314,"Não meu amor, você fez piada homofobica ali em cima, e eu só te falei pra dar parabéns para uma vítima de homofobia. Você citou o crime do Ruan e deixou claro que foi por causa de duas lésbicas e eu te citei crimes cometidos por homens heteros. Mas agora vc finge né"
315,Anda para cá <3
316,uma mulher com o seu batom vermelho novo não quer guerra com ninguém
317,é pouco argumento e uma foda violenta
318,eu comprei algumas na deep wed
319,Eles só querem falar mal de alguma coisa kkkk
320,"Em torno de 3 páginas, será q pode ser 6? kk"
323,Ô Fabinho... Se você tivesse QI com 3 dígitos saberia que quem mandou matar a comunista Mariele foi o mesmo que mandou matar Jair Bolsonaro. Eu sei que vcs da esquerda usam isso pra fazer cortina de fumaça. Nem todos os brasileiros são bocós.
324,Que bagulho lindo de se ver ... pqp
325,vouuuuu 23h
326,cliquei sim e apareceu até o álbum mas quando vou no perfil deles n aparece nada kkk nem o álbum
327,fome d+
328,ir na portela e ver pessoal que já n via a bue deixa com gandas saudades
329,bateu uma vontade de ouvir fresno hj
330,Vamos de Colômbia x Chile.  #CopaAmerica
331,eu tb amo so q eu amo mandar pra quem eu gosto
332,Chorei junto com a Prado no Instagram
333,meu vídeo com a mão presa no sofá HSNSBBSBSBSBBSHS
334,Eu realmente não aguento esse vídeo ksjdjdjdjd
336,"To sem força, to totalmente mole kkkk"
337,Vamos lá #VoleiNoSporTV
338,"Gente acabei de concluir que sou uma louca paranóica, scrrr kkkkkkk"
339,PORQUE NINGUÉM SABE ME INTERPRETAR NESSA MERDA???
340,me deu unfollow kkkkkkkkkkkkkk
341,"Eu sei disso, amo as duas tb kkkkk"
342,kkkkkkkkkkk nada a ver
343,kkkkkk postou foto e se fudeu
344,"Ele ia sofrer bullying, tadinho kkk"
345,assiste video aula do bob ross sem meme
346,amiga minha buceta eh chernobyl infelizmente kkkkkkkkkkkkkkkkkkk
348,Queria ir hoje na festa do milho mas pelo jeito vai ficar pra amanhã mesmo
349,Queria ter um😔😔😔😔😔😔😔
350,Eu falando cm objetos cm se fosse gente
351,A mimir. 😂😂😂
352,musicas que vc ouve escondido pra não ser atacado pelos vingadores da militancia
354,Uma deusa uma louca uma feiticeira
355,você q é!
356,paga p mim
357,aaaaaaaa é sobre oq?
358,essa gripe me derrubou
359,poxan nao generaliza os jovem 😔
360,Ah bom
361,SINTO MUITO
362,Eu só queria estar de férias e com um copo de gin na mão.
363,tá rindo pq?
364,"Não que as pessoas já soubessem que quem financia o tráfico é peixe grande, mas da uma puta tristeza ver um avião presidencial lotado de uma coisa que acaba com tantas familias."
365,"Eu queria só uma coisinha hj. Só um cartão de créditos,  @nubank . Nunca te pedi nada. 😢"
366,é óbvio mesmo crise
367,Ah que linda
368,Eu também menina todo dia um papel crepom diferente
370,sou hilaria mesmo
371,"Estamos com você,  Viva @VemPraRua_br  Viva @deltanmd"
372,dá pra ver bem o q é preciso
374,AMIGA EU NEM IA NA BWAYNE
375,vem cmg
378,Defensores de bandidos não amam o que é bom
379,"Gastei meu cartão alimentação comparando coisas lá pra cs, amanhã vou almoçar maçã kkkkkkkkkkkkkkk"
380,"não poderia me importar menos, o afeto em relação a você é simplesmente nenhum"
381,Léo Santana versão brasileira do Lincoln como assim
382,Quem foi o professor?? Haha
384,Vasco
385,queria te mandar um mimo de jaebinho ou doyoung :-(
386,"Consciência limpinha kkkkkkkk, achou q eu ia ficar preocupada"
387,"Me siento acosada por ese vg, aiudaaaaa"
388,Perco interesse fácil na pessoa quando vejo que ela dá moral p geral
389,to doente preciso beber coisas quentes ces acham que eu vou atrás de
390,Vo chama na dm mo
391,"falaremos de biscoitos e de chá, eu sou legal, juro"
392,Tenho uma foto malada aí
393,O LEGAL É QUE TEM UM MONTE DE FILHO DA PUTA QUE FICA POSTANDO MERDA NAQUELE CARALHO E NÃO ACONTECE PORRA NENHUMA COM ELES!
394,Se todos os paus que eu como me desse uma Melissa...
395,oioi anjo
396,Você.
397,"é a minha opinião gequinho, respeite!"
398,Hahahahaha única coisa que prestou naquela aula foi que nos uniu 🧡
399,prestes a falar merda apaguei tudo
400,O menino conversa cntg e 5 amigas sua kkkkkk
401,"eu tô até triste que acabou, que salsicha"
402,Eu ODEIO aquela foto
404,o jesus abençoa p ter sido uma boa pessoa que tenha encontrado minha carteira
405,Queria 😣
406,Mas iria arranhar tudo...
407,"eu na noite anterior: chega,eu vou superar ela eu de manhã: KKKKKK sonhei com ela e ela tava vestida de noiva"
408,"Cando acabe o bot das comarcas marcho de Twitter unha temporada, porque isto é un vicio."
410,como como como mas minha fome não passa
411,Colômbia e Chile tem tudo pra ser um dos jogos mais 🔥🔥🔥🔥🔥🔥 da CA
412,1989 um marco no pop
413,Dps n reclama q eu to sendo otario
414,Viver como se fosse o último dia da sua vida
415,Manejando mal humor desde 1995
416,Mérito do teu insta kkj
417,KKKKKK eh foda
418,Quem é a doida? Conta pra nós 😆
419,meu pai bravo = NADA pra mim
420,vou fazer um fix da yubin em why so lonely pra combinar com meu perfil e foda-se 👍
421,Biologia é lindo
423,VEM LOGO MEU UNIVERSO TODINHO
424,Vai dropar ??
426,"Mano eu odeio Andressa ela aqui agr “duda Vc devia estar aqui, férias começou e tem dois role pra ir hoje” 😭😭😭😭😭😭😭 mano eu n to sabendo lidar"
427,sequência de tiro
428,REDETV tbm!!!
429,"E além de tê-las apagado, eles negam a autoria delas, e depois negam a negação anterior."
430,POIS EU AMO TUDO EM VCS!!!!!
431,Gente alguém sabe se esse trem de passar bepantol na Tatoo p ela cicatrizar deixa ela mais clara é vdd  ??? Tipo descorada
432,[R6-PC]  Procuro treino agora !
433,"Ou seja, para Doria qualquer juiz que faça o papel de amigo político dele serve."
434,Ódio dessas pessoas que só querem infernizar nossa vida
435,deitada mexendo no not e só
436,"""Vms tentar achar a dona Katia..."" PQ N PEGOU O CONTATO DELA????????? Essa mina quer biscoito"
438,Tbm achei
439,pula!! tem muito mais coisa boa p assistir nesse mundo de animes :p
440,Tbm achooo
441,"""fala com meu sombreado"""
442,fico puta com essa enrolação pro meu pai me deixar fazer autoescola 🤬🤬🤬 engraçado que o filhinho dele com 18 já tinha feito autoescola e carro  só queria ter um piru mesmo
444,"Perdi o busao, daora"
445,Eu sou a pior coisa que pode acontecer na vida de alguém
446,Sem paciência irmão
448,"""Tô tentando ser otimista"" me poupe"
450,mais um dia que minha familia me odeia
451,KKKKKKK AMEI
452,"@belasouzaisa já tava achando q tu tinha esquecido a senha, sei lá doida"
453,Tem que pedir uns 50bi de euros por ele
454,Tão lindo mas tão filho da puta!
455,Queria fazer uma social aqui em casa hje
457,ellen page perfeita nessa série
458,"eu amo você, sinceramente eu esqueci de te esquecer"
459,"Ficar escalando Gabriel Jesus de ponta não ajuda, também"
460,não sextou
461,To passando mal sem motivo
462,pqp vontade de mudar a @ de novo pqp eu nunca me decido de nada
463,Parabéns.  Valeu. Deus o abençoe e guarde todos os dias.
464,"Eu agradeço aos amigos verdadeiros que tenho, estou rodeada de ótimas pessoas ❤"
465,Como é fodido morrer estudando dia de semana pq tem que trabalhar sábado e domingo
466,Exatamente
467,Vocês falam das minhas atitudes mas têm umas muito piores
468,"@karengffc_ ""só me falar o endereço"" ""já to aqui na embaixo"""
469,nao aguento mais ser feia
470,Ctz q eu e a mana pegamos essa gripe lá naquela palhoça velha
472,"A tua é 2x maior, queria"
473,Sorte de quem vai me ver hoje pq estou uma obra
474,eu não espero nada diferente disso de uma mina que se maqueia de “índia” 🤷🏻‍♀️
475,vc se manca kirido
476,Nathalia me manda uma mensagem e eu já respondo com 5 em troca  hauahuahauahuaha
477,To feliz um pouco parece
479,"Não duvido que vão soltar outro áudio “revelador” do nosso Ministro Sérgio Moro antes de domingo, só pra prejudicar #Dia30PeloBrasil"
482,sexta 20:27 segundo dia dormindo sozinha em casa e eu só quero dormir n to entendendo
483,era só um açaí pra começar bem o fim de semana.
484,Atlético Baleares
485,"Que orgulho! Acabei de ajudar a @CervejariaAmbev a doar R$100 mil reais para a Casa 1 e Casinha. Pra fazer o mesmo, é só tweetar o que significa #OrgulhoDaMinhaHistoria pra você 🌈🍺 Cada tweet vale 1 real. Bora!"
486,"trabalhar, aí você ganha dinheiro o bastante pra sumir dali"
487,sozinha&triste
489,"@blogdopannunzio  fala fabio, e ai como foi  o isolamento das filipinas da america?"
491,Friboi tá me atiçando pra ir pra Allure 🤦🏾‍♂️
492,e desenhos animados e artistas frustrados
493,FLAMENGO  ponto
495,Meus sobrinhos gostam de Naruto 💛
496,@Feijjonn mais um q nunca viu série policial
497,atenção galera o Igor ta tisti pq n vai n bm
498,Dps  um lanche e cama 😏
499,caralho e essa porra de cabelo q n cresce logo :(
501,Eu e Ana Paula tomando um gelo e ouvindo tiee
502,pra q que existe homem (lixo) mulher nenhuma gosta disso viu gente vocês são uns sururus kkkk
504,🤔🤔🤔🤔 e vc não me falou que tem namorado ?
505,"ei eu tenho 1,69 e ai"
506,mds bati meu braço vai ficar roxo demais
507,eu te amo tbm
508,Meu cabelão está tão cheiroso
509,Maripan parece mais nome de padaria.
510,OLHA SO ESSE ICONEEEEEEEEE MIGA
512,Quais são as suas dúvidas sobre #DarkNetflix que você gostaria que eu abordasse em um vídeo? Me manda por DM que estou estudando e fazendo roteiro!
514,só queria ter alguém pra ir ver todo final de semana
515,Ufn pensa em mim q eu tô pensando em vc e me diz o que eu quero te dizer vem pra cáaaaa
516,"Mano como assim 1,5M  #VideoQuandoABadBater"
517,amigas q n me respondem eu não considero mais como amigas  #naoehindiretaok
518,"Segundo informações divulgadas, eles apagaram todas as mensagens porque perceberam que estavam invadindo seus telefones."
519,"Nossa, eu preciso ver o Dumbo ainda. Mas logo depois q a bebeza nasceu eu li a reportagem sobre o elefante real que inspirou Dumbo e chorava de soluçar Fer"
520,Por que minhas AMIGAS resolveram morar bem longe de mim? 🙄 Chateada.
522,nao vou dormir sozinha hoje 🥰
523,Vcs não têm noção da enganação que é o tal do LSD e do Ecstasy... os usuários estão sendo passados pra trás com a conivência das autoridades!
525,"Aaaaa mano eu sei que eu sou Flop mais os meninos mim odeiam serin, O YOONGI falou que eu sou chata o J-HOPE não mim dá bola, o Jungkook nunca mim ligou o Taehyung falou que eu sou uma mal impressaria e eu muito Soft, ESTOU CHORANDO MESMO 😪😪😪🤦 NEM NO JOGO NINGUÉM GOSTA DE MIM"
526,"Esquerdalha com ódio no coração, do sabem destruir!#EmPauta"
527,Eu deixo um monte de pistas solta sobre eles só n entendem pq n querem   MANO EU TENHO UMA BANDEIRA LGBT NO MEU QUARTO E USO ANEL DE COCO OQ SERIA MAIS EVIDENTE Q ISSO PQP
528,"Mano, TÔ COM ÓDIO DE TODO MUNDO...."
529,Compra um nintendo WII
530,são poodle?
532,"Ainda bem, quero gente feia aqui n"
534,odeio brigar com pessoas que eu gosto
535,"Please, Please, Please Let Me Get I Want música perfeita ter smiths obg  por tudo"
536,ai po eu ate ******** mas eu sou mt orgulhosa kk nao consigo nao eh MT dificil p mim kk morte
537,"Da uma agonia só de olhar, parece que a onda vai engolir ele!! 😱"
538,foda
539,como diz o boizinho partiu baure
540,Hahahaha fonte confiável hein
541,todo dia e uma decepção comigo mesma diferente
542,"Às vezes eu queria saber da onde eu tiro, paciência pra atender esse clientes aqui do serviço 🙄🤦🏻‍♀️😠"
544,"A partir do dia 1/7/2019 em diante resevarei mais meu tempo livre pra minha família e diversão ao invés de melhorias para as minhas Rádios, esse mês trabalhei duro organizando cada uma das minhas 9 Rádios."
545,Mermão eu só quero dormir
546,"Olha, adimiro quem larga o orgulho e vai falar da a cara pra bater, eu queria ser assim mais nao consigo"
547,"Namoral, tnc , hj eu vou beber com raiva"
548,ME! da taylor nem é tao ruim q nem vcs falam
549,já abri o botão da calça pra ficar suave 😋😋 obrigada Senhor sei q tu me sondas ☝️☝️🙏🙏🙌🙌
551,não vou negar... kkkkkkk
552,FONTE VOZES DA SUA CABEÇA!
553,sandro me tira de silver
555,DEUS É PROVA DE QUE EU PRECISO SAIR DAQUI.
557,Coisa linda! Por um mundo cheio de meninas que adorem jogar futebol e não sejam discriminadas por isso 😍🤩
559,"Preciso tbmmm de um emprego urgente, aquela história NÃO AGUENTO MAISSSS"
562,ontem eu salvei modelos de apoio pra desenho de pessoas gordas e perdi  foda ser burra
